Q1gen,Q2age,Q3edu,Q4lon,Q5fPo,Q6fRe,Q7noC,Q8noT,Q9_1pPo.sel,Q9_2pPo.pub,Q9_3pPo.edi,Q9_4pPo.rev,Q9_5pPo.pFb,Q9_6pPo.del,Q10_1emo.edi,Q10_2emo.rev,Q10_3emo.pFb,Q10_4emo.0Fb,Q10_5emo.nFb,Q10_6emo.del,Q10_7emo.Re.ing,Q10_8emo.Re.ed,Q11_1iMa.awa,Q11_2iMa.lik,Q11_3iMa.fri,Q11_4iMa.des,Q11_5iMa.com,Q11_6iMa.ski,Q11_7iMa.int,Q11_8iMa.sat,Q11_9iMa.pro.self,Q11_10iMa.pro.fri,Q12_1att.des,Q12_2att.eas,Q12_3att.dis,Q12_4att.dem,Q12_5att.p.a,Q12_6att.p.fri,Q12_7att.n.dis,Q12_8att.n.fri
2,2,1,2,2,1,7,3,7,78,81,8,70,0,2,4,5,3,2,,4,2,4,5,5,2,3,4,4,3,2,3,3,5,4,5,1,4,4,5
2,2,2,2,2,1,4,3,100,71,64,74,85,50,4,4,4,3,3,,4,3,3,3,4,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3
1,2,2,2,3,1,4,2,10,71,86,100,79,100,4,5,5,2,1,5,3,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
1,2,2,2,5,1,7,2,100,0,0,0,50,0,0,3,3,3,3,,3,3,4,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3
1,2,2,1,3,1,4,2,6,90,81,80,69,11,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,3,3,2
1,2,1,2,1,1,4,2,37,69,69,68,63,63,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,2,4,2,1,2,2,6,50,77,27,50,0,5,3,5,2,2,,,3,4,4,4,4,3,4,4,3,3,3,5,4,4,4,4,4,4,2
2,5,2,1,4,1,5,2,22,1,7,9,8,37,,,4,3,3,3,,4,5,3,5,5,4,5,5,3,5,5,5,5,2,5,5,5,3,3
1,2,2,3,2,1,11,2,12,82,78,59,72,42,4,4,5,,2,2,4,4,5,5,5,5,4,4,4,4,4,3,4,4,4,5,4,5,2,2
1,5,1,5,3,1,3,4,27,62,31,31,27,8,,,4,3,2,,4,3,3,2,2,2,2,2,1,1,2,2,4,5,3,4,3,3,4,3
2,2,1,2,4,1,4,2,50,50,77,73,50,50,3,4,4,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,4,3,3,3,3
2,2,1,2,3,1,3,3,19,50,55,24,52,50,5,5,5,3,3,3,4,4,5,5,5,4,4,4,4,4,4,4,5,3,2,2,4,4,2,2
2,2,1,1,4,1,5,2,79,77,100,100,83,16,3,4,4,3,2,,3,3,4,4,4,3,3,3,4,4,3,4,3,4,2,5,3,3,3,3
1,2,1,4,3,1,1,1,0,100,0,8,3,0,3,3,4,3,3,,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,1,4,2,89,4,100,96,95,0,3,5,5,3,2,,3,3,5,5,3,4,5,5,5,5,5,4,5,3,2,2,3,3,3,3
2,5,2,1,3,1,3,3,14,100,16,8,39,8,1,1,3,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,2,1,2,4,1,2,2,0,90,81,60,87,0,3,4,5,,2,,4,4,4,4,4,4,4,3,4,4,4,5,5,4,3,3,3,3,2,2
1,2,1,2,1,1,2,3,75,50,36,36,50,35,3,4,4,3,2,3,4,3,4,3,3,2,2,2,4,3,2,4,2,2,3,2,2,1,3,4
2,2,1,1,3,1,4,2,61,76,70,68,74,77,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,2,1,5,3
1,2,1,2,2,1,5,2,5,30,1,25,42,0,,4,4,3,3,,3,4,4,4,4,3,3,3,4,4,4,2,4,4,3,3,3,3,4,2
2,4,2,1,3,1,1,2,85,3,50,50,13,0,3,4,5,3,3,,3,3,5,5,5,5,5,5,5,5,4,5,5,5,2,3,4,5,3,5
